Node [word=A, frequency=32]
Node [word=Aboot, frequency=1]
Node [word=About, frequency=2]
Node [word=Adam, frequency=3]
Node [word=Admiral, frequency=1]
Node [word=Africa, frequency=2]
Node [word=African, frequency=8]
Node [word=Afropath, frequency=1]
Node [word=After, frequency=7]
Node [word=Again, frequency=6]
Node [word=Age, frequency=1]
Node [word=Ah, frequency=11]
Node [word=Alamance, frequency=2]
Node [word=Alas, frequency=1]
Node [word=All, frequency=8]
Node [word=Allow, frequency=1]
Node [word=Almanach, frequency=3]
Node [word=Almost, frequency=1]
Node [word=Also, frequency=1]
Node [word=Although, frequency=2]
Node [word=Amazement, frequency=1]
Node [word=Amendment, frequency=1]
Node [word=America, frequency=7]
Node [word=American, frequency=22]
Node [word=Americanany, frequency=1]
Node [word=Americans, frequency=2]
Node [word=An, frequency=6]
Node [word=And, frequency=136]
Node [word=Andmay, frequency=1]
Node [word=Andrew, frequency=2]
Node [word=Andrews, frequency=1]
Node [word=Andwill, frequency=1]
Node [word=Anna, frequency=1]
Node [word=Another, frequency=1]
Node [word=Answer, frequency=1]
Node [word=Any, frequency=1]
Node [word=Anybody, frequency=3]
Node [word=Anyhow, frequency=2]
Node [word=Anything, frequency=1]
Node [word=April, frequency=1]
Node [word=Aragon, frequency=1]
Node [word=Are, frequency=6]
Node [word=Arent, frequency=1]
Node [word=Arlington, frequency=1]
Node [word=Army, frequency=2]
Node [word=As, frequency=16]
Node [word=At, frequency=20]
Node [word=Augustus, frequency=5]
Node [word=Aunt, frequency=56]
Node [word=Aunts, frequency=2]
Node [word=Auntthe, frequency=1]
Node [word=Away, frequency=2]
Node [word=a, frequency=938]
Node [word=aback, frequency=1]
Node [word=abandon, frequency=1]
Node [word=abandoned, frequency=3]
Node [word=abhorrent, frequency=1]
Node [word=abilities, frequency=1]
Node [word=ability, frequency=1]
Node [word=able, frequency=8]
Node [word=abodes, frequency=1]
Node [word=abolished, frequency=1]
Node [word=about, frequency=122]
Node [word=above, frequency=9]
Node [word=abreast, frequency=1]
Node [word=abruptly, frequency=6]
Node [word=absence, frequency=3]
Node [word=absences, frequency=1]
Node [word=absent, frequency=2]
Node [word=absentminded, frequency=1]
Node [word=absorbed, frequency=2]
Node [word=absorption, frequency=1]
Node [word=abstain, frequency=1]
Node [word=abstract, frequency=1]
Node [word=absurd, frequency=1]
Node [word=abundant, frequency=1]
Node [word=abused, frequency=1]
Node [word=academicians, frequency=1]
Node [word=accent, frequency=5]
Node [word=accept, frequency=2]
Node [word=accepted, frequency=2]
Node [word=accepting, frequency=2]
Node [word=accident, frequency=2]
Node [word=accidental, frequency=2]
Node [word=acclamations, frequency=1]
Node [word=accompanied, frequency=2]
Node [word=accompany, frequency=2]
Node [word=accompanying, frequency=1]
Node [word=accomplished, frequency=3]
Node [word=accord, frequency=1]
Node [word=according, frequency=2]
Node [word=accordingly, frequency=1]
Node [word=account, frequency=10]
Node [word=accountable, frequency=1]
Node [word=accounts, frequency=1]
Node [word=accuracy, frequency=1]
Node [word=accurate, frequency=1]
Node [word=accustomed, frequency=6]
Node [word=ache, frequency=1]
Node [word=achieved, frequency=2]
Node [word=acid, frequency=1]
Node [word=acknowledged, frequency=1]
Node [word=acquaintance, frequency=4]
Node [word=acquainted, frequency=5]
Node [word=acquiescent, frequency=1]
Node [word=acquire, frequency=1]
Node [word=acquired, frequency=1]
Node [word=acrid, frequency=1]
Node [word=across, frequency=10]
Node [word=act, frequency=8]
Node [word=acted, frequency=1]
Node [word=action, frequency=1]
Node [word=actively, frequency=1]
Node [word=activity, frequency=1]
Node [word=acts, frequency=1]
Node [word=actual, frequency=1]
Node [word=actually, frequency=6]
Node [word=add, frequency=2]
Node [word=added, frequency=15]
Node [word=adding, frequency=2]
Node [word=additional, frequency=1]
Node [word=address, frequency=2]
Node [word=addressed, frequency=10]
Node [word=adequate, frequency=1]
Node [word=adequatecould, frequency=1]
Node [word=adequately, frequency=2]
Node [word=adherence, frequency=1]
Node [word=adjacent, frequency=1]
Node [word=adjective, frequency=1]
Node [word=administer, frequency=1]
Node [word=administered, frequency=1]
Node [word=admirable, frequency=4]
Node [word=admirably, frequency=3]
Node [word=admiration, frequency=1]
Node [word=admire, frequency=2]
Node [word=admired, frequency=4]
Node [word=admiredby, frequency=1]
Node [word=admires, frequency=1]
Node [word=admiring, frequency=1]
Node [word=admit, frequency=5]
Node [word=admitted, frequency=3]
Node [word=admonition, frequency=1]
Node [word=adolescence, frequency=2]
Node [word=adolescent, frequency=1]
Node [word=adopt, frequency=1]
Node [word=adopting, frequency=1]
Node [word=adulterate, frequency=1]
Node [word=advance, frequency=1]
Node [word=advanced, frequency=4]
Node [word=advancedas, frequency=1]
Node [word=advantages, frequency=2]
Node [word=adventures, frequency=3]
Node [word=adventurous, frequency=1]
Node [word=adversity, frequency=1]
Node [word=advice, frequency=1]
Node [word=advisable, frequency=1]
Node [word=affair, frequency=5]
Node [word=affairs, frequency=3]
Node [word=affairsa, frequency=1]
Node [word=affect, frequency=1]
Node [word=affection, frequency=2]
Node [word=affectionate, frequency=2]
Node [word=affectionately, frequency=1]
Node [word=affianced, frequency=2]
Node [word=affluence, frequency=1]
Node [word=afford, frequency=2]
Node [word=affront, frequency=1]
Node [word=afire, frequency=1]
Node [word=afraid, frequency=16]
Node [word=after, frequency=56]
Node [word=afterdinner, frequency=1]
Node [word=afternoon, frequency=9]
Node [word=again, frequency=67]
Node [word=against, frequency=17]
Node [word=age, frequency=17]
Node [word=aged, frequency=1]
Node [word=ages, frequency=1]
Node [word=agglomerate, frequency=1]
Node [word=ago, frequency=10]
Node [word=agree, frequency=6]
Node [word=agreeable, frequency=13]
Node [word=agreeably, frequency=1]
Node [word=agreeare, frequency=1]
Node [word=agreed, frequency=4]
Node [word=agreement, frequency=1]
Node [word=agreements, frequency=1]
Node [word=agreethat, frequency=1]
Node [word=ahead, frequency=2]
Node [word=aid, frequency=3]
Node [word=aimed, frequency=1]
Node [word=aiming, frequency=1]
Node [word=air, frequency=12]
Node [word=airbut, frequency=1]
